Loan_ID,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
LP001002,0,4.85,360.0,1.0,8.674025985443025,1,0,0,0,0,1,1
LP001003,1,4.852030263919617,360.0,1.0,8.714567550836485,1,1,0,0,0,0,0
LP001005,0,4.189654742026425,360.0,1.0,8.006367567650246,1,1,0,1,0,1,1
LP001006,0,4.787491742782046,360.0,1.0,8.50532301884575,1,1,1,0,0,1,1
LP001008,0,4.948759890378168,360.0,1.0,8.699514748210191,1,0,0,0,0,1,1
LP001011,2,5.58724865840025,360.0,1.0,9.170871628065816,1,1,0,1,0,1,1
LP001013,0,4.553876891600541,360.0,1.0,8.255568653283746,1,1,1,0,0,1,1
LP001014,3,5.062595033026967,360.0,0.0,8.61974977974133,1,1,0,0,1,0,0
LP001018,2,5.123963979403259,360.0,1.0,8.61830469278465,1,1,0,0,0,1,1
LP001020,1,5.855071922202427,360.0,1.0,10.077818939438902,1,1,0,0,1,0,0
LP001024,2,4.248495242049359,360.0,1.0,8.268731832117737,1,1,0,0,0,1,1
LP001027,2,4.6913478822291435,360.0,1.0,8.375629627094451,1,1,0,0,0,1,1
LP001028,2,5.298317366548036,360.0,1.0,9.321792297270326,1,1,0,0,0,1,1
LP001029,0,4.736198448394496,360.0,1.0,8.453827315794417,1,0,0,0,0,0,0
LP001030,2,2.833213344056216,120.0,1.0,7.776954403322442,1,1,0,0,0,1,1
LP001032,0,4.8283137373023015,360.0,1.0,8.507142855562735,1,0,0,0,0,1,1
LP001034,1,4.605170185988092,240.0,1.0,8.18757739559151,1,0,1,0,0,1,1
LP001036,0,4.330733340286331,360.0,0.0,8.163371316459912,0,0,0,0,0,1,0
LP001038,0,4.890349128221754,360.0,1.0,8.494333897270154,1,1,1,0,0,0,0
LP001041,0,4.74493212836325,360.0,1.0,8.716044050161402,1,1,0,0,0,1,1
LP001043,0,4.6443908991413725,360.0,0.0,8.943767262734637,1,1,1,0,0,1,0
LP001046,1,5.752572638825633,360.0,1.0,9.357034751126987,1,1,0,0,0,1,1
LP001047,0,4.7535901911063645,360.0,0.0,8.414274137408396,1,1,1,0,1,0,0
LP001050,2,4.718498871295094,360.0,0.0,8.572060092857077,1,1,1,0,0,0,0
LP001052,1,5.017279836814924,360.0,1.0,8.801168401936692,1,1,0,0,1,0,0
LP001066,0,5.25227342804663,360.0,1.0,9.165343006045447,1,1,0,1,1,0,1
LP001068,0,4.804021044733257,360.0,1.0,8.527539483470381,1,1,0,0,1,0,1
LP001073,2,4.700480365792417,360.0,1.0,8.569026340056254,1,1,1,0,0,1,1
LP001086,0,3.5553480614894135,360.0,1.0,7.273786317844895,1,0,1,0,0,1,0
LP001087,2,4.787491742782046,360.0,1.0,8.671286726753637,0,0,0,0,1,0,1
LP001091,1,5.303304908059076,360.0,0.0,8.927314111060596,1,1,0,0,0,1,0
LP001095,0,4.30406509320417,360.0,1.0,8.06054004653864,1,0,0,0,0,1,0
LP001097,1,4.663439094112067,360.0,1.0,8.453614209773367,1,0,0,1,0,0,0
LP001098,0,4.736198448394496,360.0,1.0,8.550047528287184,1,1,0,0,1,0,1
LP001100,3,5.768320995793772,360.0,1.0,9.648595302907339,1,0,0,0,0,0,0
LP001106,0,4.85,360.0,1.0,8.376090350438238,1,1,0,0,0,1,1
LP001109,0,4.605170185988092,360.0,0.0,8.057694194815587,1,1,0,0,0,1,0
LP001112,0,4.969813299576001,360.0,1.0,8.542080906924017,0,1,0,0,1,0,1
LP001114,0,5.214935757608986,360.0,1.0,9.339261152043022,1,0,0,0,0,1,1
LP001116,0,4.700480365792417,360.0,1.0,8.59711281459211,1,0,1,0,1,0,1
LP001119,0,4.382026634673881,360.0,1.0,8.1886891244442,1,0,0,0,0,1,0
LP001120,0,3.8501476017100584,360.0,1.0,8.0106915391303,1,0,0,0,0,1,1
LP001123,0,4.31748811353631,360.0,1.0,7.783224016336037,1,1,0,0,0,1,1
LP001131,0,4.897839799950911,360.0,1.0,8.744647438317532,1,1,0,0,1,0,1
LP001136,0,4.564348191467836,360.0,1.0,8.454253391642363,1,1,1,1,0,1,1
LP001137,0,4.477336814478207,360.0,1.0,8.134467570277563,0,0,0,0,0,1,1
LP001138,1,3.784189633918261,360.0,1.0,8.639233817325263,1,1,0,0,0,1,1
LP001144,0,4.969813299576001,360.0,1.0,8.669227347271736,1,1,0,0,0,1,1
LP001146,0,4.787491742782046,360.0,0.0,8.713582005421628,0,1,0,0,0,1,0
LP001151,0,4.969813299576001,360.0,1.0,8.744328763999984,0,0,0,0,1,0,1
LP001155,0,4.605170185988092,360.0,1.0,8.18088094199639,0,1,1,0,1,0,1
LP001157,0,4.787491742782046,360.0,1.0,8.034631032923107,0,0,0,0,1,0,1
LP001164,0,4.718498871295094,360.0,1.0,8.349957272040324,0,0,0,0,1,0,0
LP001179,2,4.897839799950911,360.0,1.0,8.437283808187935,1,1,0,0,0,1,0
LP001186,1,5.655991810819852,360.0,0.0,9.350102314351341,0,1,0,1,0,1,0
LP001194,2,4.574710978503383,360.0,1.0,8.262300941787448,1,1,0,0,1,0,1
LP001195,0,4.564348191467836,360.0,1.0,8.222285073872717,1,1,0,0,1,0,1
LP001197,0,4.90527477843843,360.0,1.0,8.624431942085836,1,1,0,0,0,0,0
LP001198,1,5.19295685089021,360.0,1.0,9.242807562113684,1,1,0,0,0,1,1
LP001199,2,4.969813299576001,360.0,1.0,8.734881892047483,1,1,1,0,0,1,1
LP001205,0,4.787491742782046,360.0,1.0,8.74766979009724,1,1,0,0,0,1,1
LP001206,3,4.59511985013459,360.0,1.0,8.015987811027237,1,1,0,0,0,1,1
LP001207,0,5.10594547390058,180.0,0.0,8.709134991587183,1,1,1,1,0,0,0
LP001213,1,4.85,360.0,0.0,8.506132244056813,1,1,0,0,0,0,0
LP001222,0,4.7535901911063645,360.0,0.0,8.334711621820917,0,0,0,0,1,0,0
LP001225,0,5.552959584921617,360.0,1.0,9.241935933565934,1,1,0,0,1,0,0
LP001228,0,4.836281906951478,180.0,0.0,8.604104563405533,1,0,1,0,0,1,0
LP001233,1,5.7430031878094825,360.0,1.0,9.28266103355581,1,1,0,0,0,1,1
LP001238,3,4.8283137373023015,60.0,1.0,8.867850063029406,1,1,1,1,0,1,1
LP001241,0,4.912654885736052,360.0,0.0,8.366370301681654,0,0,0,0,1,0,0
LP001243,0,5.147494476813453,360.0,1.0,8.744169388750624,1,1,0,0,0,1,1
LP001245,2,4.574710978503383,360.0,1.0,8.229511118964457,1,1,1,1,1,0,1
LP001248,0,4.394449154672439,300.0,1.0,8.160518247477505,1,0,0,0,1,0,1
LP001250,3,4.553876891600541,360.0,0.0,8.46695197497949,1,1,1,0,1,0,0
LP001253,3,5.231108616854587,360.0,1.0,8.859363449152088,1,1,0,1,1,0,1
LP001255,0,4.727387818712341,480.0,1.0,8.229511118964457,1,0,0,0,0,1,0
LP001256,0,5.170483995038151,360.0,1.0,9.047821442478408,1,0,0,0,0,1,0
LP001259,1,4.700480365792417,360.0,1.0,8.299534570332597,1,1,0,1,0,1,0
LP001263,3,5.19295685089021,300.0,0.0,8.877242435993919,1,1,0,0,1,0,0
LP001264,3,4.867534450455582,360.0,1.0,8.612321536507814,1,1,1,1,1,0,1
LP001265,0,4.709530201312334,360.0,1.0,8.254788926148725,0,0,0,0,1,0,1
LP001266,1,4.85,360.0,1.0,7.781138509845015,1,1,0,1,1,0,1
LP001267,2,5.117993812416755,360.0,1.0,8.089175678837561,0,1,0,0,0,1,0
LP001273,0,5.579729825986222,360.0,1.0,9.017968479328726,1,1,0,0,1,0,0
LP001275,1,3.912023005428146,240.0,1.0,8.291045131081729,1,1,0,0,0,1,1
LP001279,0,4.912654885736052,360.0,1.0,8.496378051702317,1,0,0,0,1,0,1
LP001280,2,4.59511985013459,360.0,1.0,8.581669210600602,1,1,1,0,1,0,1
LP001282,0,4.6443908991413725,360.0,1.0,8.43771698991444,1,1,0,0,1,0,1
LP001289,0,5.3471075307174685,360.0,1.0,9.055556158175316,1,0,0,0,0,1,1
LP001310,0,5.1647859739235145,360.0,1.0,9.196444266784072,1,1,0,0,1,0,1
LP001316,0,4.875197323201151,360.0,1.0,8.675563527387679,1,1,0,0,1,0,1
LP001318,2,5.236441962829949,180.0,1.0,9.384629757072872,1,1,0,0,1,0,1
LP001319,2,4.394449154672439,360.0,1.0,8.535622326884605,1,1,1,0,0,1,1
LP001322,0,4.804021044733257,360.0,1.0,8.326758814511733,1,0,0,0,1,0,1
LP001325,0,3.2188758248682006,120.0,1.0,8.194229304819817,1,0,1,0,1,0,1
LP001326,0,4.85,360.0,1.0,8.822027322685583,1,0,0,0,0,1,0
LP001327,0,4.919980925828125,360.0,1.0,8.47345026846832,0,1,0,0,1,0,1
LP001333,0,3.912023005428146,360.0,1.0,7.9976631270201,1,1,0,0,1,0,1
LP001334,0,4.74493212836325,180.0,1.0,8.339978571990427,1,1,1,0,1,0,1
LP001343,0,4.875197323201151,360.0,1.0,8.575462099540212,1,1,0,0,1,0,1
LP001345,2,4.890349128221754,180.0,1.0,8.929435283803425,1,1,1,0,0,1,1
LP001349,0,5.017279836814924,360.0,1.0,9.065198986306513,1,0,0,0,1,0,1
LP001350,0,4.85,360.0,1.0,9.521494800613105,1,1,0,0,0,1,1
LP001356,0,4.85,360.0,1.0,9.016148642611741,1,1,0,0,1,0,1
