,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0,0,4.700480365792417,360.0,1.0,8.651724084373843,1,1,0,0,0,1
1,1,4.836281906951479,360.0,1.0,8.428580533059634,1,1,0,0,0,1
2,2,5.337538079701318,360.0,1.0,8.824677891164196,1,1,0,0,0,1
3,2,4.605170185988092,360.0,1.0,8.494129251817686,1,1,0,0,0,1
4,0,4.356708826689592,360.0,1.0,8.09437844497296,1,0,1,0,0,1
5,0,5.0238805208462765,360.0,1.0,8.628197749459149,1,1,1,1,0,1
6,1,4.07753744390572,360.0,1.0,7.70796153183549,0,0,1,0,1,0
7,2,4.990432586778736,360.0,0.0,8.263848131368906,1,1,1,0,0,0
8,2,5.634789603169249,240.0,1.0,9.520248603186127,1,1,0,0,0,1
9,0,4.812184355372417,360.0,1.0,8.476371196895983,1,0,1,0,1,0
10,0,4.499809670330264,360.0,1.0,8.036249942132116,1,0,1,0,0,1
11,1,5.087596335232384,360.0,1.0,8.216358332386156,1,1,0,0,1,0
12,3,3.688879454113936,180.0,1.0,8.334711621820919,1,0,0,0,0,1
13,2,5.111987788356544,360.0,0.0,9.406975663409595,1,1,0,0,1,0
14,0,4.820281565605037,360.0,1.0,8.448057452581375,0,0,0,0,1,0
15,1,4.875197323201151,360.0,1.0,8.64241515616962,1,0,0,0,0,1
16,2,5.298317366548036,360.0,1.0,8.92252495730139,1,1,0,0,0,1
17,3,4.836281906951479,360.0,1.0,8.323365694436081,1,1,0,0,1,0
18,0,5.703782474656202,360.0,1.0,9.749286871458828,1,1,0,0,0,1
19,0,4.605170185988092,180.0,1.0,8.470101583882387,1,0,0,0,1,0
20,1,3.8712010109078916,360.0,1.0,8.162801353492073,1,1,1,0,0,1
21,3,3.332204510175204,180.0,1.0,7.641564441260973,0,0,1,0,0,1
22,0,4.61512051684126,360.0,1.0,8.271036865792954,1,0,0,0,0,1
23,0,4.8283137373023015,360.0,1.0,8.233503140233994,0,0,1,0,0,1
24,0,5.66988092298052,360.0,1.0,9.188094763028865,1,1,0,0,0,1
25,0,4.997212273764115,360.0,0.0,10.085809109330082,1,0,0,0,0,0
26,2,4.941642422609304,360.0,1.0,8.6328406149422,1,1,0,0,0,1
27,0,5.616771097666573,360.0,1.0,9.328123407632567,1,1,0,0,0,1
28,0,4.043051267834549,360.0,1.0,8.434897948689407,1,1,0,0,1,0
29,0,4.8283137373023015,180.0,1.0,8.579980179515003,1,0,0,0,0,1
